,address,lat,long
0,SANCAKTEPE,41.0104897,29.2123325
1,YUKARI DUDULLU ÜMRANİYE,41.0100007,29.1557437
2,ATALAR KARTAL,40.9042031,29.1720176
3,EVLİYA ÇELEBİ MAHALLESİ TUZLA,40.8403103,29.2949628
4,KOZYATAĞI İSTANBUL,40.9692371,29.0971297
5,KOZA SOKAK HASANPAŞA KADIKÖY,41.0008259,29.0468942
6,ŞİŞLİ,41.0612733,28.9850203
7,KAYIŞDAĞI CADDESİ ATAŞEHİR,40.9789308,29.1137675
8,KOZYATAĞI ,40.9692371,29.0971297
9,NİŞANTAŞI TEŞVİKİYE,41.0516865,28.9916962
10,LEVENT,41.0815723,29.0169502
11,İÇERENKÖY ATAŞEHİR,40.9709067,29.1130083
12,MECİDİYEKÖY,41.0700421,28.9962529
13,ATAŞEHİR,40.9847487,29.1067199
14,ERENKÖY KADIKÖY,40.9721783,29.0758899
15,FERHATPAŞA MAHALLESİ ATAŞEHİR,40.9839393,29.1811651
16,ATATÜRK MAHALLESİ ÜMRANİYE,41.0273782,29.091609786128
17,KURTKÖY PENDİK,40.9143675,29.2983052
18,DİLOVASI KOCAELİ,40.8345539,29.586275788318
19,YENİKÖY SARIYER,41.1231548,29.070613
20,"GÜLSUYU,MALTEPE/İSTANBUL",40.9296003,29.158811
21,ŞAŞKINBAKKAL SUADİYE,40.9636165,29.0762149
23,TOSB ÇAYIROVA,40.8686897,29.4089118443007
24,KEMANKEŞ MAHALLESİ KARAKÖY,41.0234354,28.9772166
25,MASLAK,43.4407702,-0.6944335
26,KOZYATAĞI,40.9692371,29.0971297
27,FREELANCE ,40.8340102,17.3559477
28,GÖZTEPE,41.0788619,29.0883719
29,SULTANBEYLİ,40.9680869,29.2587886
30,TATLISU MAHALLESİ ÜMRANİYE,41.00281195,29.1338863471698
31,EYÜPSULTAN MAH.ÖZDEMİR CAD.ONBAŞI SK.SARDUNYA SİTESİ        ,41.18497815,28.8781899536105
32,ORHUNTEPE MAH.SARAYLAR   KARTAL        ,40.9125528,29.1609366
33,HARMANDERE MAH.EKŞIOĞLU MODERN BIRKENT SITESI     KURTKÖY   ,40.9282158,29.3220081
34,ORTA MAH. MÜMTAZ     TUZLA     ,40.9124476,29.2076196
35,YENIŞEHIR MAH. BAHAR SK. HUKUKÇULAR HUZUR SITESI     KURTKÖY ,40.7712026,29.9631899
36,İDEALTEPE MAH. AVCILAR SOK.         ,41.0165021,28.8577342
37,ZÜHTÜPAŞA MAH.HASAN KAMIL SPOREL SK.İNTUŞ D BLOK      ,40.9880761,29.0390377
38,MIMAR SINAN MAH.ORHANGAZI CAD.5 YILDIZ SITESI    BLOK  ÇEKMEKÖY ,39.9145342,32.8776956
39,TUFAN SK.TUFAN SİTESİ          ,41.0356494,29.0315464
40,INÖNÜ MAH. DEMOKRASI CAD. DERYA SOK.    SANCAKTEPE   ,39.9525862,32.7257326
41,YAHYA KEMAL BEYATLI CAD. ERGUVAN SK. FREZYA 1 SIT. KURTKÖY PENDIK ISTANBUL ,41.0235538,28.9735337
42,CADDEBOSTAN MAH. KEMAL SUNAL SK. BAYKAL APT.B BLOK  ÇİFTEHAVUZLAR   ,40.8752546,29.2399858
43,REŞADIYE CAD. 145.SOK ELYSIUM GARDEN  ALEMDAĞ ÇEKMEKÖY     ,41.0096334,28.9651646
44,ERTUĞRUL GAZI CAD.KIPTAŞ YEŞILTEPE SITESI    ZÜMRÜTEVLER MALTEPE /ISTANBUL  ,41.0958182,28.8087857
45,ÇAMLIK MAH. SEMERKANT BULVARI KUTLU SOK. KUTLU KONAKLARI     ,39.9656531,32.9386233
46,MECLİS MAH.TERAZİLER CAD.SARIBELDE SİTESİ   SANCAKTEPE      ,41.0095075,29.1984796705691
47,MERVE MAH.MASAL SK.  SANCAKTEPE İSTANBUL       ,41.1109668,29.1031553
48,YAKUT SİTESİ    ATATÜRK MAH.ATAŞEHİR      ,40.9896965,29.1140174191022
49,OSMAN GAZİ MAH.DÜNDARLI CAD.MAHAL SANCAKTEPE SİTESİ   SANCAKTEPE    ,37.8494008,32.4520575
50,ADIL MAH.POLONEZ CAD.SINPAŞ LIVA TURKUAZ SITESI       ,40.883195,29.2196551
51,FERAH MAH.ALTUNTAŞ ÇIKMAZI   ÜSKÜDAR       ,41.0094205,29.2176064
52,ADIL MAH. SAID NURSI CD.AYAZMA SK.İDILLIA ST.A      ,40.883195,29.2196551
53,ORCU CAD. HUZURTEPE SK.  ÇENGELKÖY-ÜSKÜDAR       ,41.051034,29.0599829
54,GALİPBEY CAD. B BLOK ALTINTEPE MALTEPE       ,40.9536603,29.1051137
55,19 MAYIS MAH. GÜRSOYLU SOK. GÜLTEKIN ÇIKMAZI SAHRA APT.    ,41.0590571,28.9916828
56,MEHMET AKİF MAH.EŞREF EDİP SOKAK  ÜMRANİYE      ,37.9058693,32.4763943
57,ABDURRAHMAN GAZI MAH.HASAN AĞA CD.   SANCAKTEPE     ,41.0104897,29.2123325
58,OSMANGAZI MAH. ATIYOLU CAD. SEÇKIN TELETAŞ SITESI. B BLOK   SANCAKTEPE ISTANBUL,40.0171599,32.860975
59,İNÖNÜ CAD.YAZAR  OSMAN SELVİ APT.  KOZYATAĞI     ,40.8284988,29.3587148
60,HARMANDERE MAH.REYHAN CAD.EKŞIOĞLU MODERN BIRKENT SITESI  BLOK DAIRE 16 PENDIK  ,40.9282158,29.3220081
61,EYÜP SUHAN MAH. ONBAŞI SK.   SARDUNYA EVLERI SANCAKTEPE   ,40.9195693,29.1472831
62,YENIŞEHIR MAH. REYHAN CAD.  PENDIK       ,40.7712026,29.9631899
63,EYÜP SULTAN MAH.KIYI     SANCAKTEPE     ,37.0842267,37.3939449
64,KURKTKÖY MAH. GÜLSUN SOK.  MEKAN İST. EVLERI    PENDIK ,40.9148566,29.2914485
