,address,lat,long
65,BAHÇELIEVLER MAH. TURGUT REIS SK. VEFA.  BAHÇELIEVLER     ,39.9284122,32.8262218
66,NECİP FAZIL MAH.19 MAYIS CAD.SİMPAŞ CENTAL LİFE  ÜMRANİYE    ,37.8664857,32.450854
67,GÜLENSU MAH.ÇİFTLİK  MALTEPE         ,40.95603065,29.1773816624858
68,SULTANÇIFTLIĞI MAH.           ,41.0096334,28.9651646
69,YENIŞEHIR MAH. BIKMAZ SOK. CONSEP İST. SIT. 20 PARSEL PENDIK İSTANBUL  ,40.7712026,29.9631899
70,VEYSEL KARANI MAH.GÜLHANE CD.SIMPAŞ AYDOS SITESI  SANCAKTEPE     ,37.1702621,38.8166771
71,CEVIZLI MAH. KARAKAŞ SOK. DRAGOS SUNSET PARK EVLERI     MALTEPE,41.0454475,28.9143571
72,NECIP FAZIL MAH. INÖNÜ CAD SAADET SOKAK EKŞIOĞLU UZMAN KENT SITESI  ÜMRANIYE,37.8664857,32.450854
73,ZÜMRÜTEVLER MAH.HANDEGÜL SOK ADATEPE SITESI    MALTEPE    ,40.9469892,29.1527635
74,YENİŞEHİR MAH.İMARE İSKAN CAD.K    ATAŞEHİR     ,40.7712026,29.9631899
75,KOZYATAĞI MAH. ŞAKACI SOK.  KADIKÖY       ,40.9679222,29.0888704
76,YENIŞEHIR MAH. CUMHURIYET BULV. MIA PARK EVLERI M BLOK   KURTKÖY PENDIK,40.7712026,29.9631899
77,KÜÇÜKSU MAH. RASATHANE CAD. ASMA SOK. ESTON KANDILLI EVLERI    ,40.8129587,29.2689191
78,YENİŞEHİR MAH.REYHAN CAD.EKŞİOĞLU AKASYA SİTESİ  PENDİK      ,40.7712026,29.9631899
79,OSMANGAZİ MAH.DÜNDARLI CAD.   BLOK  SAMANDIRA     ,40.0171599,32.860975
80,BAŞIBÜYÜK MAH.NAR LIFE SITESI  MALTEPE       ,40.9257789,29.2973367315532
81,GÖZTEPE MAH. IHLAMUR CAD.  GÖKSU EVLERI BEYKOZ     ,37.081678,37.3808141
82,Y.UYUM SIT.  SARIYER         ,41.0096334,28.9651646
83,TATLI SU MAH.HALIÇ SK.     ÜMRANIYE    ,40.8871695,29.2424567
84,ABDULEZEL PAŞA SK. ÇİÇEK APT.  KOZYATAĞI      ,40.9840036,29.0474673
85,NECİP FAZIL MAH.DİLEKTAŞI SK.ÜMRANİYE         ,37.8664857,32.450854
86,YENIŞEHIR MAH.SENA SK.DUMANKAYA SITESI     KURTKÖY    ,40.7712026,29.9631899
87,BURHANİYE MAH.KAĞITCIBAŞI CAD.BAŞAK APT.         ,40.0812586,29.4917703
88,ÇAKMAK MAH.TAVUKÇUYOLU CAD. ABANT SK.  ÜMRANIYE      ,37.0707468,37.3862657
89,NECIP FAZIL MAH.RANA SK.   SULTANBEYLI      ,37.8664857,32.450854
90,YENIŞEHIR MH. BERKAY SK.ÇAM KOZA SITESI.   BLOK    ,40.8759791,29.3244382
91,CUMHURIYET MAH.23 NISAN       ÇEKMEKÖY   ,40.2267402,33.0284598
92,ÇARŞI MAH. GÜLSULTAN SOKAK  MIMOZAEVLERI    YAKACIK/KARTAL   ,39.9680748,32.8079582
93,SELAMI ALI MAH.EKMEKCIBAŞI SK. CANSU  ÜSKÜDAR      ,41.0257362,29.0310874
94,PETROLYOLU CAD. SONER SOK. AĞAOĞLU MY TOWN      ,41.0098502,29.1978675
95,ALEMDAĞ CAD.   ÜMRANIYE        ,41.0222688,29.090073
96,SALACAK MH. NEYZEN BAŞI HALIL CAN SK.      ,41.0096334,28.9651646
97,LALE SK.ALALE   ATLINTEPE        ,41.0381833,29.05386
98,AVUKAT SÜREYYA AĞAOĞLU SOK.  TOPAĞACI/TEŞVIKIYE       ,41.0510012,28.9950001
99,ZÜHTÜPAŞA MAH.RUŞTIYE SK.ALIDA ÇIKMAZI  AKSES APT A BLOK D2 KIZILTOPRAK  ,40.8300116,29.364401
100,BOSTANCI MAH.EMANET SOKAK CENGIZ APT.        ,37.0678734,37.3865351
101,INÖNÜ MAH.INÖNÜ CAD. KERVAN   SANCAKTEPE      ,39.9525862,32.7257326
102,MIMAR SINAN MAH.YEUUS SELIM      BLOK ÇEKMEKÖY  ,39.9145342,32.8776956
103,KANUNI CAD.VEYSEL KARANI MAH.BIZIMTEPE AYDOS SITESI J BLOK     ,37.1702621,38.8166771
104,EMEK MAH.ORDU CAD.SIMPAŞ AQUA CTY 2010 SITESI M BLOK  SANCAKTEPE  ,39.9222891,32.8193538
105,IÇERENKÖY MAH.ADEM SK.SEMA SIT.A BLOK   ATAŞEHIR     ,40.8369027,29.2950857
106,KARDELEN SOK. INCITY  ATAŞEHİR        ,40.952937,29.1655146
107,SARIBELDE SİTESİ.  MECLİS MAH. SANCAKTEPE       ,41.0094383,29.1927663
108,SINPAS CENTRAL LIFE SIT.ERGUVAN C BLOK D6 ÜMRANIYE     ,41.0208401,29.1698949393895
109,M.NESIR ÖZMEN MAH.KASIM   GÜNGÖREN       ,41.0096334,28.9651646
110,MEHMET AKİF ERSOY MAH.YAVUZ SELİM CAD.EZBER SK SULTANBEYLİ     ,36.92483,30.7191426
111,NAMIK KEMAL MAH. GENİŞ SK.  ÜMRANİYE      ,39.9188438,32.8492258
112,VEYSEL KARANİ MAH.SİMPAŞ AYDOS CONTRIY G/BLOK D/26      ,37.1702621,38.8166771
113,PETROL IŞ MAH.VILLA   KARTAL       ,47.66792,19.5311002
114,ZÜMRÜT EVLER MAH.GÜL CD.MERCAN SK.  MALTEPE      ,37.91361355,40.1780666709029
115,KARTALTEPE MAH.FAIK KÖKSAL SOKAK FATIH   BAKIRKÖY     ,39.9961703,32.8518601
116,YENİŞEHİR MAH.CUMHURİYET BULVARI A BLOK  PENDİK      ,40.7712026,29.9631899
117,BAĞLAR BAŞI İSTASYON CAD.SÖGÜTLÜ SK.DARICA        ,41.1327708,28.8298508
118,VEYSEL KARANI MAH.KANUNI  BIZIM TEPE AYDOS SİT   SANCAKTEPE   ,37.1702621,38.8166771
119,MEVLANA MAH. MEVLANA CAD.  ATAŞEHIR       ,39.9923907,32.5697712
120,ÇAKMAK MAH.UZUNAYNA   ÜMRANİYE        ,37.0707468,37.3862657
121,SARAYLAR MAH. KEFALI MEVKII BÜLBÜL SOK.   PENDIK  İST.  ,41.0096334,28.9651646
122,MUSTAFA KEMAL MAH.3103 SOKAK         ,39.9108081,32.768018
123,KÜÇÜKYALI MERKEZ MAH.ÇAMLIK APT.B BLOK  MALTEPE/İSTANBUL      ,40.95,29.11
124,ABDURRAHMAN GAZİ MAH. LOKMAN HEKİM SK.       ,41.1021778,28.7705861
125,MEVLANA MH.ACARLAR SITESI     ATAŞEHIR     ,38.4509736,27.2384523
126,OSMANGAZI MAH.FARUK SOK.          ,40.0171599,32.860975
127,NECIP FAZIL  MAYIS CD.SINPAŞ LIFE SIT.ÜMRANIYE      ,41.0208401,29.1698949393895
128,USTA SIT. A.BLOK  KOZYATAĞI        ,40.9647061,29.2829885
129,ÇAMLIK MAH.PIRI REIS CD.360 SITESI   KURTKÖY     ,39.9656531,32.9386233
130,ALTAY ÇEŞME MAH.KORE SK. GÜVENER    MALTEPE    ,36.6312401,34.3241791
131,KAVACIK MAH.YÖRE  BEYKOZ         ,38.105521,35.3192424
132,YENIŞEHIR MAH.REYHAN   DOĞA EVLERI KURTKÖY      ,40.7712026,29.9631899
133,İNÖNÜ MAH.FİDAN      ATAŞEHİR     ,39.9525862,32.7257326
134,MERKEZ MH.ESRA   ÇEKMEKÖY /İSTANBUL       ,38.4177345,27.2031894
135,BOSTANA MAH.BAĞDAT CD.KONUK  KADIKÖY        ,40.9351949,29.1241045
136,EMEK MAH.ORDU CAD.AĞVA CİTY 2010 SİTESİ  SANCAKTEPE     ,39.9222891,32.8193538
137,KORDONBOYU MAH.NEYZEN TEFIK CD.  KARTAL       ,40.9033333,29.1724999
138,ÇIRÇIR  KARTAL          ,40.8905029,29.1843296
139,BÜYÜK ATATÜRK CD.INÖNÜ MAH.KARANFIL SK.ÜMIT AP.   ATAŞEHIR    ,41.3004084,27.5431985
140,NURETTİN ALİ BERKOL SK. ÇADIRCILAR AP.   ERENKÖY    ,40.9652086,29.0768126
141,KEMAL MAH.KEMAL PARK EVLERI    ATIŞALANI     ,40.88853745,29.2430549068142
142,YENIŞEHIR MAH.EŞREF BITLIS BULVARI  SINPAŞ SITESI    PENDIK  ,40.7712026,29.9631899
143,ALTUNUZADE MAH.ERZURUM SITESI.AZIZIYE SK. ÜSKÜDAR        ,40.03037475,42.1381867092971
144,MESCIT MAH.DEMIRCAN  FIYAKA3    TUZLA     ,38.138757,41.0093986
145,BAŞIBÜYÜK MAH. MEDRESE ÇIKMAZI   MALTEPE /ISTANBUL     ,40.9658124,29.0985207
146,ADİL MAH.AYAZMA   SULTANBEYLİ/İSTANBUL        ,40.883195,29.2196551
147,F.S.M MAH.BALKAN CAD. ÜSKÜP SK. NP:16/2 ÜMRANİYE      ,41.0096334,28.9651646
148,MEHMET AKİF MAH.TARIK BUĞRA   LA MAISON SİTESİ ÜMRANİYE   ,37.9058693,32.4763943
149,NECİP FAZIL MAH.SİNPAŞ CENTRATLİFE SİTESİ MİMAZO  AŞAĞI DUDULLU ÜMRANİYE   ,37.8664857,32.450854
150,YAVUZ SELIM MAH.SERDIVAN CD.YEŞIL SK ÇAVUŞBAŞI       ,40.0000262,32.6119218
151,KISIKLI MAH.ABDİ PAŞA SK.ÇAMLICA  ÜSKÜDAR /İSTANBUL      ,41.01417285,29.0665491778638
152,BAĞLARBAŞI MAH.BAĞDAT CAD.YENİ ÇIKMAZI SK.KORKMAZ        ,39.9922209,32.8822227
153,ÇAMLIK MAH.MEŞE  KURTKÖY         ,39.9656531,32.9386233
154,YENIŞEHIR MAH. REYHAN CD EKŞIOĞLU AKASYA ST.A2 BLOK     ,40.7712026,29.9631899
155,SOĞANLIK YENI MAH.MUŞ SK.SOYAK EVRAKA SITESI    KARTAL   ,40.8965678,29.2682456
156,SIRASÖĞÜTLER MAH.1639. SOK.  DARICA        ,41.0096334,28.9651646
157,ÇAMLIK MAH.PIRIREIS CD.KRISTAL PARK SIT.   KURTKÖY     ,39.9656531,32.9386233
158,YOLBOYU CAD.   TUZLA        ,40.8166668,29.3008332
159,ATATÜRK CD.COFELMESE MAH. ELSIYUM PARK SIT. ALEMDAĞ      ,40.9261463,29.1326205
160,ATATÜRK MH.SEDEF  ATAŞEHIR REZIDANS      ATAŞEHIR  ,41.0096334,28.9651646
161,ÇAMLIK MAH.SELÇUKLU CAD.LALE  KURTKÖY        ,39.9656531,32.9386233
162,BOSTANCI MH.YALI SK. SEVGİLİ BERKER BLOK   KADIKÖY/İSTANBUL    ,40.8601782,29.2948721
163,İSTİKLAL MAH.MEŞRUTİYET CAD.KULEVOĞLU  ÜMRANİYE        ,37.7640253,29.0941492
164,TATLISU MAH.ŞANLI   DRAENTOURS  ÜMRANIYE      ,40.3010319,41.5277401
165,SUADIYE CAMII           ,40.962391,29.0795173
166,MARMAROOM SITESI           ,40.94269895,29.157218677675
167,ATATÜRK MAH UYSAL CD. SARI EVLER SITESI YAPRAK 15 SANCAKTEPE   ,41.0107285,29.2232861
168,OSMAN GAZİ MAH.ZİYA     SAMANDIRA     ,37.8494008,32.4520575
169,ZÜMRÜT EVLER MAH.ZEREN   MALTEPE ISTANBUL      ,37.91361355,40.1780666709029
170,YENIŞEHIR MAH.DEDEPAŞA CAD.DUMANKAYA TREND SITESI    PENDIK    ,40.7712026,29.9631899
171,TATLISU MAH.ELALMIŞ CD YEŞILPARK     ÜMRANIYE    ,40.3010319,41.5277401
172,BAŞIBÜYÜK MAH.EMEK CD.NAR SITESI   MALTEPE      ,40.9446063,29.1669894
173,BARAJ YOLU CAD. ÇAĞATAY SK SİMP.CİTY ST    SANCAKTEPE  ,41.1081245,28.0913785
174,ADİL MAH.HAMİDEYE CAD.SELÇUKLU EVLER         ,40.883195,29.2196551
175,MEHMET AKIF MAH.ULUBATLI HASAN CAD PARADISE CITY ÇEKMEKÖY ISTANBUL    ,37.9058693,32.4763943
176,YALI MAH.SAYGIN SK YÜKSEL ŞAHİNLER    MALTEPE    ,41.4292336,36.1571812
177,DR.RIFATPAŞA SKGÖZTEPE KONUTLARI  GÖZTEPE        ,41.0096334,28.9651646
178,ZÜMRÜT EVLER MAH.YOL  SK.NISH ADALAR       ,37.91361355,40.1780666709029
179,EMEKLI SB. EVLERI SITESI ESENTEPE MAH. ŞIŞLI /SOYAK YENIŞEHIR SITESI PALMIYE EVLERI ÇAKMAK MAH.,40.8263218,29.3201710993751
180,YENIŞEHIR MAH.BAKÜ CAD.SAĞLAM SITESI    KURTKÖY     ,40.7712026,29.9631899
181,YENIŞEHIR MAH.REYHAN CD.9 BAHÇE PENDIK        ,40.7712026,29.9631899
182,AYDINTEPE MAH.EVORA İSTANBUL  TUZLA        ,37.0838907,37.3759521
183,FEVZİ PAŞA CAD.TURGUT REİS     K.BAKKALKÖY ATAŞEHİR   ,41.0606554,28.8635629
184,ATATÜRK MAH.AKASYA   ATAŞEHİR /İSTANBUL       ,41.0096334,28.9651646
185,KEMAL TÜRKLER MAH.SÜMER CD.KUĞU SK.ALICE VILLALARI  SANCAKTEPE     ,41.0063209,29.2228787
186,HAMIDIYE MAH.BARIŞYOLU CD.DUMANKAYA ÇEKMEKÖY EVLERI   ÇEKMEKÖY     ,40.0683167,29.5117195
187,YENİŞEHİR MAH GÖKAY SK.AŞİYAN VİLLALARI  PENDİK /İSTANBUL     ,40.9385982,29.3019712954811
188,ATATÜRK CD.KÜÇÜKYALI MAH.KÖKNAR SK. MALTEPE        ,40.9261463,29.1326205
189,FATH MAH.KERPİÇ SK.RESİM İST.Y BLOK   SANCAKTEPE     ,40.9014154,29.1938413
190,MECLIS MAH.TERAZILER CD.ŞELALE PREMIUM SIT    SANCAKTEPE    ,41.0095075,29.1984796705691
191,PR. DR. BÜLENT TARCAN CAD. SEVGI ÇIKMAZI SK. HASANBAHRIBEY APT.   GAYRETTEPE,41.0096334,28.9651646
192,ALTAY ÇEŞME MH.EFE BOZ SK. EVINPAKTEPE SITESI     MALTEPE ,40.9359546,29.1362798
193,YENIŞEHIR MAH.BARAŞYOLU CAD.YAREN SK.SAFIR EVLERI    ATAŞEHIR    ,40.7712026,29.9631899
194,KAŞANELER SK. ÖZLEM  ERENKÖY İSTANBUL       ,40.9674878,29.0760496
195,YENIŞEHIR MAH.DEDEPAŞA  PARKLIFE SITESI    KURTKÖY    ,40.7712026,29.9631899
196,İCADIYE MAH. MARUF SK.  BAĞLARBAŞI/ÜSKÜDAR       ,38.4798146,36.183815
197,ARMAĞAN EVLER MAH.IZCI SK.KARACA2 AP.  ÜMRANIYE      ,41.089392,29.0017936
198,MECLIS MAH. GELINCIK SK. BOUTİQUE DACA SITESI    SANCAKTEPE  ,41.0095075,29.1984796705691
199,ÇAMLIK MAH.MEŞE SK. SAYRA EVLER      PENDİK  ,39.9656531,32.9386233
200,ÇAMLIK MAH.SAVUR  PENDİK         ,39.9656531,32.9386233
201,M.FEVZİ ÇAKMAK CD.Ş.ALİ İHSAN   MALTEPE /İSTANBUL     ,41.0096334,28.9651646
202,BATTAL GAZİ MAH.SOKULLU SK.S.BEYLİ EMLAK KONUTLARI 369 ADA     ,41.0092927,28.852622
203,VEYSEL KARANİ MAH.SİMPAŞ AYDOS CONTRIY G/BLOK       ,37.1702621,38.8166771
204,ALTAYÇEŞME UÇAR SK.  MALTEPE/IST.        ,40.9290706,29.1306194
205,VEYSEL KARANI MAH. SINPAŞ AYDOS COUNTRY SITESI  SANCAKTEPE    ,37.1702621,38.8166771
206,KEMAL TÜRKLER MAH. KUĞU SOK. ALICE VILLAGE SIT.   SANCAKTEPE  ,41.1153464,29.127886
207,BATTALGAZI MAH. SOKULLU SK. EMLAK KONUTLARI 369 ADA SULTANBEYLI İSTANBUL   ,38.7053009,35.4871461
208,KÜÇÜKBAKKALKÖY MAHALLESİ GÜLBAHAR SOKAK OSMANBEY APT.   ATAŞEHİR    ,40.9847487,29.1067199
